t,symbol,r
1769091,US Small Cap 2000,2.9419446648922754
1769091,SOLUSD,2.962891913137028
1769092,Wall Street 30,-1.0326497610837118
1769092,France 40,-1.0848672108349682
1769092,Germany 40,-1.0202528217013676
1769093,BTCUSD,0.8546099595184223
1769093,US Tech 100,-1.0243547327930624
1769094,US SP 500,-1.0546069426446738
1769094,Japan 225,-1.0695674428640682
1769094,UK 100,-1.0708175699055
1769094,ETHUSD,-1.047758335818205
1769094,SOLUSD,-1.0371080868629552
1769094,XRPUSD,-1.0341800725824601
1769095,US Small Cap 2000,-0.6931553940162855
1769096,France 40,0.9382623918021912
1769097,Wall Street 30,1.024715841024292
1769098,Japan 225,0.8655864948833488
1769101,US SP 500,0.9143816929153977
1769112,SOLUSD,-1.0371080868629796
1769112,US SP 500,-0.018971880225660227
1769112,US Tech 100,-1.024354732793039
1769113,Wall Street 30,0.3270852902264938
1769113,US Small Cap 2000,0.21424322014186997
1769113,Japan 225,-1.06956744286406
1769126,Japan 225,-1.0695674428639939
1769133,BTCUSD,1.2229355365221286
1769136,XRPUSD,-1.0341800725824752
1769140,SOLUSD,0.589206823284387
1769140,ETHUSD,-0.06279187765351399
1769143,Japan 225,-1.0695674428640198
1769145,BTCUSD,1.20341535312459
1769147,XRPUSD,-0.046215197305919394
1769148,ETHUSD,1.3976490022688923
1769150,SOLUSD,1.3536921733493041
1769151,France 40,-1.0848672108350317
1769151,Germany 40,-1.0202528217014826
1769152,UK 100,-1.0708175699052858
1769155,US Tech 100,2.9756452672069806
1769155,US SP 500,2.945393057355344
1769156,Japan 225,1.1250972907491035
1769156,UK 100,-1.0708175699055622
1769156,France 40,-1.0848672108349522
1769157,US Tech 100,2.9756452672069176
1769157,US Small Cap 2000,1.5592203878056243
1769157,Wall Street 30,2.9673502389163025
1769157,US SP 500,2.9453930573552576
1769158,France 40,-1.0848672108349893
1769159,Germany 40,-1.0202528217014137
1769163,Wall Street 30,-1.0326497610838485
1769163,France 40,-0.7704263709449887
1769164,US SP 500,-1.0546069426447433
1769164,UK 100,-1.0708175699054368
1769164,Germany 40,-1.0202528217014604
1769166,US Tech 100,-1.024354732792966
1769166,Germany 40,-0.8308022252326076
1769166,US SP 500,-1.0546069426446523
1769168,UK 100,-1.070817569905505
1769175,US Small Cap 2000,2.9419446648923064
1769175,Wall Street 30,-1.0326497610837504
1769178,SOLUSD,-1.0371080868629519
1769178,ETHUSD,-1.0477583358181803
1769178,XRPUSD,-1.0341800725824506
1769180,US Small Cap 2000,-1.0580553351076873
1769182,Germany 40,-1.020252821701454
1769182,US Small Cap 2000,2.9419446648923238
1769183,SOLUSD,2.962891913137026
1769183,US Tech 100,-1.0243547327930034
1769183,ETHUSD,2.9522416641817957
1769183,US SP 500,-1.0546069426446105
1769183,BTCUSD,2.990338747922463
1769184,XRPUSD,2.965819927417533
1769188,XRPUSD,-1.0341800725824566
1769189,ETHUSD,-1.047758335818198
1769190,UK 100,-1.0708175699053977
1769190,Wall Street 30,-1.0326497610837622
1769190,US Small Cap 2000,0.0748576180117857
1769190,US SP 500,-1.0546069426446656
1769190,US Tech 100,-1.0243547327930425
1769190,Japan 225,-1.0695674428640527
1769195,BTCUSD,1.8389641513035526
1769195,UK 100,-1.0708175699053804
1769223,BTCUSD,-0.07714694407854243
1769240,SOLUSD,0.7298794328925647
1769262,SOLUSD,-1.037108086862985
1769262,ETHUSD,-1.047758335818141
1769262,BTCUSD,-1.0096612520774242
1769266,ETHUSD,-1.0477583358182405
1769266,SOLUSD,-1.0371080868629787
1769269,BTCUSD,-1.0096612520776085
1769269,XRPUSD,-1.0341800725824584
1769271,ETHUSD,-1.0477583358181766
1769283,ETHUSD,-0.3558074186453304
1769294,SOLUSD,-1.0371080868629676
1769300,SOLUSD,-1.037108086862936
1769300,XRPUSD,2.9658199274175447
1769311,BTCUSD,-1.0096612520776145
1769311,ETHUSD,-1.0477583358182134
1769311,SOLUSD,-1.0371080868629838
1769320,BTCUSD,-1.0096612520774948
1769324,XRPUSD,2.965819927417527
1769329,BTCUSD,-1.0096612520775603
1769336,ETHUSD,-1.0477583358182165
1769336,XRPUSD,-1.0341800725824761
1769336,SOLUSD,-1.0371080868629612
1769344,XRPUSD,2.9658199274175594
1769350,SOLUSD,2.962891913137036
1769352,XRPUSD,2.965819927417539
1769356,BTCUSD,1.7232808201564278
1769357,ETHUSD,2.952241664181805
1769358,XRPUSD,2.9658199274175296
1769360,SOLUSD,0.9149881331712822
1769365,BTCUSD,2.990338747922445
1769365,ETHUSD,2.952241664181796
1769368,SOLUSD,2.962891913137032
1769368,XRPUSD,-1.034180072582457
1769371,SOLUSD,-0.42137890270154504
1769377,XRPUSD,-1.0341800725824544
1769382,Japan 225,-1.0695674428640392
1769383,US Tech 100,-1.0243547327930294
1769383,US SP 500,-1.054606942644635
1769383,France 40,-1.084867210834946
1769383,Wall Street 30,-1.0326497610837997
1769383,Germany 40,-1.0202528217013673
1769386,France 40,-1.0848672108349693
1769386,US SP 500,1.1386525943397106
1769386,US Tech 100,1.3723801057009062
1769386,Germany 40,-1.0202528217013869
1769386,Japan 225,-1.069567442864035
1769386,UK 100,-1.0708175699054159
1769391,ETHUSD,-1.047758335818196
1769391,BTCUSD,-0.4717306481586154
